cliente_id,nombre,email,telefono,estado,fecha_registro,edad,genero,codigo_postal
32.0,Javier Santiago Aguilar Casárez,juradorodrigo@example.org,1-680-546-3118x574,Jalisco,2025-07-17,999.0,M,
33.0,Barbara Jurado Valladares,hdominguez@example.org,397-325-4173x9935,Nuevo León,2024-09-13,999.0,,
34.0,Arcelia Mercado,mesacarlos@example.com,+51(1)1386043360,Querétaro,2022-12-13,999.0,F,
35.0,Bernardo Pablo Venegas Estrada,navarretebarbara@example.net,431-506-9471x512,Querétaro,2022-11-26,-5.0,,ABCDE
36.0,Dra. Blanca Gaona,pedro02@example.net,07234524772,Jalisco,2025-02-17,,M,
37.0,Antonia Aurora Chávez,saucedosalvador@example.com,(163)026-8945x3022,CDMX,2025-08-06,,,
38.0,Dulce Montañez Lemus,espartaco55@example.com,738.914.7845,CDMX,2023-05-18,22.0,F,00845
39.0,Ing. Bernardo Varela,fernandopacheco@example.net,676.043.5868x22550,CDMX,2025-11-21,-5.0,M,
40.0,Ana Nayeli Vanegas Sosa,esteban29@example.com,952-190-4456,Querétaro,2024-12-31,999.0,F,
41.0,Horacio Serafín Brito,uribefrancisco@example.net,666-606-8235x9904,Veracruz,2022-06-24,999.0,,
42.0,Dr. José Manuél Saldaña,prendon@example.com,1-052-785-0656x66788,Jalisco,2022-01-27,999.0,Otro,ABCDE
43.0,Clara Norma Villalpando Ledesma,de-la-garzalucia@example.org,1-776-723-8577x0448,Guanajuato,2022-10-21,47.0,M,51689-6538
44.0,Elvia Soria,ojedarosalia@example.org,039.941.4725x6498,Guanajuato,2023-03-29,-5.0,M,
45.0,Nadia Nadia Corrales,rene19@example.net,(480)402-7893x5097,Puebla,2024-03-22,999.0,F,ABCDE
46.0,Ing. Concepción Olmos,alberto44@example.net,242.196.4686,Nuevo León,2025-09-08,999.0,F,06257
47.0,Esmeralda Hermelinda Hurtado,gilberto53@example.net,03802800693,Veracruz,2023-11-03,69.0,M,33068
48.0,Ramón Abrego Carrión,jorgecasanova@example.net,(174)982-8258x202,Jalisco,2024-09-04,,F,ABCDE
49.0,Gabriel César Laureano Zamudio,luz40@example.org,(621)649-7034,Veracruz,2022-05-10,,,72237-1229
50.0,Nayeli Esther Collazo,francisca54@example.net,284.193.7220x911,Nuevo León,2021-10-14,42.0,,
51.0,Nancy Jiménez,holguinkarina@example.com,678-962-1203,Veracruz,2023-09-02,999.0,,ABCDE
52.0,Elvira Méndez,angelicacervantes@example.net,(637)319-8558x147,Nuevo León,2023-09-05,-5.0,F,48842
53.0,René Abreu,valdesarmando@example.org,1-859-044-8762x178,Yucatán,2022-12-12,-5.0,M,87854-5953
54.0,Dr. Luis Cazares,ursuladelgado@example.org,(751)694-9052x0048,Veracruz,2026-03-23,,M,07602
55.0,Elias Negrón Verduzco,liliaorellana@example.net,949-007-0478x8126,Nuevo León,2022-04-23,22.0,F,ABCDE
56.0,Srita. Pamela Rivas,horacio44@example.org,(971)723-8405,Jalisco,2024-09-28,,,13592-2224
57.0,Iván Ornelas Quiñónez,barreracamila@example.com,275.897.5909x6956,Jalisco,2023-10-23,-5.0,Otro,
58.0,Minerva Toledo Concepción,aguirreespartaco@example.com,079-839-3505x93314,Estado de México,2021-10-28,-5.0,,
59.0,Ignacio Aldo Collado,adriana63@example.org,+94(5)1990216762,Querétaro,2024-03-16,-5.0,M,17781-0751
60.0,Augusto Linares Lozada,claudiobustamante@example.org,967-482-9543x44494,Veracruz,2025-06-26,57.0,M,
61.0,Carlos Mariano Avilés,violetaarmendariz@example.net,1-260-375-4999x4147,Yucatán,2026-01-01,,Otro,63599
62.0,Marcos Flores Anaya,luisguzman@example.org,082-917-5888x92336,Puebla,2022-11-08,-5.0,F,ABCDE
63.0,Dr. Darío Madera,lilia75@example.com,901.200.1846x79903,Yucatán,2026-04-17,-5.0,,23660
64.0,Lic. Citlali Roybal,pablo09@example.net,881-525-8578,Yucatán,2025-03-17,37.0,F,
65.0,Martín Jurado Guillen,hidalgobarbara@example.com,+69(0)5564544732,Jalisco,2024-11-27,74.0,,
66.0,Susana Gaytán,pamelamendez@example.org,03045946182,Querétaro,2026-01-02,,Otro,
67.0,Alberto Renato Murillo Avilés,veracaridad@example.org,839-935-0988x990,Querétaro,2022-11-09,999.0,Otro,65033-8150
68.0,Elsa Itzel Maya,martin94@example.com,+97(0)7158730426,Jalisco,2024-04-23,999.0,Otro,72227-0147
69.0,Ana Luisa Sauceda Rael,bgaona@example.com,772-383-4160x488,CDMX,2024-01-29,,Otro,
70.0,Juan Esparza Ramón,merazdario@example.org,066-381-4148x897,Veracruz,2024-11-23,999.0,,41665
71.0,Francisca Andrea Morales,correo_mal_formado,1-293-816-9040,Jalisco,2022-02-23,,,21970
72.0,José Saucedo Rocha,maria-cristina52@example.net,187-555-7387x1936,Estado de México,2025-02-08,,,
73.0,Víctor Rafaél Escobar,leyvacitlali@example.com,1-490-863-7523,CDMX,2023-04-28,-5.0,M,
74.0,Cristobal Jorge Echeverría,judithibarra@example.net,186.115.0430x535,Puebla,2021-09-07,,M,
75.0,Emiliano Alba,elviravelez@example.com,934-809-5720,Yucatán,2024-07-07,999.0,,
76.0,Margarita Mata Valdés,cjaime@example.net,(382)339-1854x33926,Puebla,2025-11-07,,F,ABCDE
77.0,Vicente Juan Carlos Roybal,pichardoclara@example.org,295-813-0136x618,CDMX,2023-08-24,-5.0,,
78.0,Luis Miguel Espinoza Prado,olivia09@example.com,+88(5)8784013948,Querétaro,2026-06-22,28.0,,85727-7454
79.0,Alma Maestas de la Rosa,emilio99@example.org,873-922-8334,Veracruz,2022-02-12,,,
80.0,Elias Olivera Martínez,sgrijalva@example.org,290.410.2041x944,Querétaro,2023-09-08,,F,77703-7811
81.0,Paulina Magdalena Vélez Torres,ana07@example.net,+07(3)2252313731,Puebla,2025-04-24,-5.0,Otro,95066-3017
82.0,Hilda Yuridia Tamez,eloy46@example.net,+47(0)6918805152,Querétaro,2024-11-17,999.0,,
83.0,Jaqueline Rocío Sierra,espartatoledo@example.net,(145)183-4643,CDMX,2023-04-12,-5.0,F,
84.0,Silvia Guillen Vallejo,yuridiaesquibel@example.com,(010)446-9663,CDMX,2024-07-15,999.0,Otro,
85.0,Víctor Pablo Barragán,csevilla@example.net,00405544537,Guanajuato,2024-12-13,56.0,,
86.0,Dolores Benítez Robles,kmiranda@example.net,01561208086,Querétaro,2025-03-30,999.0,M,
87.0,Esperanza Ofelia Montañez,maria-luisalaureano@example.net,324-937-3772x28725,Estado de México,2022-01-17,45.0,Otro,
88.0,Amanda Rocío Casanova Apodaca,fperalta@example.com,561-826-5517,Jalisco,2021-09-10,-5.0,,
89.0,Dr. Ángel Olivárez,patriciourrutia@example.com,(201)534-8409,Guanajuato,2022-05-16,999.0,Otro,
90.0,Mitzy Meza,rnegrete@example.org,1-515-930-3148x71981,Puebla,2024-12-30,999.0,F,
91.0,Mariano Olivárez Jiménez,chaconevelio@example.net,823.647.4786,Guanajuato,2022-12-04,53.0,Otro,
92.0,Anel Mendoza Lara,hcorral@example.net,935-174-9875x05801,Puebla,2023-12-03,-5.0,,ABCDE
93.0,Irma Arcelia Malave Bonilla,ulloabenito@example.net,660-821-3803x318,Veracruz,2023-11-03,,,ABCDE
94.0,Francisco Pedraza,gonzaloolmos@example.com,807-508-1724,Nuevo León,2022-11-29,60.0,Otro,
95.0,Sr. Patricio Centeno,roybalguillermina@example.org,+32(3)5595530106,Jalisco,2026-05-28,,Otro,
96.0,Sra. Delia Rentería,lde-la-torre@example.com,1-392-135-2854x60494,Puebla,2024-02-20,27.0,M,
97.0,Mayte Lugo Torres,marcosdelgado@example.net,(379)585-8119x984,Veracruz,2026-05-17,57.0,,ABCDE
98.0,Israel Pablo Castellanos,amandapacheco@example.net,1-525-685-7838x59797,Puebla,2025-05-14,999.0,,ABCDE
99.0,Dr. José Eduardo Laureano,hectorbadillo@example.org,269-840-0465x83480,Puebla,2024-05-08,27.0,M,ABCDE
100.0,Ramón Pablo Meléndez de la Fuente,padillamodesto@example.org,1-857-256-9049,Puebla,2024-05-25,999.0,M,
101.0,Salvador Carrillo Urbina,fde-jesus@example.net,110.088.2081x6876,Jalisco,2023-05-25,,,
102.0,Teresa Benavídez Paz,olivoeloisa@example.net,(013)455-2824x63993,Veracruz,2023-12-08,999.0,,ABCDE
103.0,Sra. Citlali Robles,rosasmicaela@example.net,(457)714-7449,Nuevo León,2026-01-19,999.0,,
104.0,Ing. Carlos Tapia,salvador20@example.org,(449)434-9472x150,Puebla,2024-01-23,-5.0,,ABCDE
105.0,Ricardo Luis Manuel Huerta Collado,haguayo@example.net,995-071-1440x36869,Puebla,2024-07-05,999.0,M,
106.0,Natalia Santiago Mejía,sierrarosario@example.com,1-208-887-1888,Puebla,2023-12-08,-5.0,Otro,02528-6096
107.0,Ing. Arturo Cazares,gloriamontoya@example.org,(836)393-0485,Nuevo León,2023-04-08,,,
108.0,Jesús Tórrez,porfirio94@example.net,1-915-532-3820x95283,Puebla,2023-11-06,999.0,,
109.0,Renato Jorge Luis Pérez Posada,antonio22@example.org,531-020-5210,Yucatán,2024-11-21,999.0,M,
110.0,Srita. Esperanza Sáenz,miguel00@example.net,1-304-257-6272x3343,Guanajuato,2025-06-12,42.0,,ABCDE
111.0,Marisol Noelia Romo,betancourtluis@example.net,711-994-6650x9586,Veracruz,2024-06-07,-5.0,Otro,ABCDE
112.0,Noemí Trujillo Godínez,andreaposada@example.com,130.951.2314,Guanajuato,2024-04-24,,,
113.0,Alicia Ramírez Montero,ecamarillo@example.com,1-027-908-2832x636,Querétaro,2025-05-04,999.0,M,ABCDE
114.0,Elias Alfonso Puente Alarcón,de-la-torregabriela@example.org,(123)830-6047x7622,Estado de México,2022-11-26,999.0,F,ABCDE
115.0,Soledad Frida Alcala Valencia,josvalenzuela@example.com,202-376-7605x098,Nuevo León,2021-07-17,57.0,,51341-4154
116.0,Dr. Luis Miguel Guzmán,nalcantar@example.org,954.450.9556,Jalisco,2023-12-23,999.0,F,ABCDE
117.0,Hernán Octavio Piña,victoriagranado@example.com,216-737-5916x329,Nuevo León,2021-09-28,-5.0,,
118.0,Maximiliano Alonso Alemán Zapata,ramiro18@example.net,(927)219-9336,Puebla,2023-08-26,-5.0,Otro,ABCDE
119.0,Estefanía Cedillo Sanabria,talarcon@example.org,(116)428-7427x9843,Querétaro,2023-05-08,999.0,Otro,73249
120.0,Marcos Jacobo Báez Merino,rde-leon@example.org,793.426.2241x29324,Veracruz,2023-07-24,19.0,Otro,
121.0,Eugenia Lorena Longoria Corona,guillermina95@example.com,829.987.0813,Jalisco,2024-02-19,67.0,M,
122.0,Ing. Jacinto Jasso,soniamateo@example.org,302.245.5853,Puebla,2024-05-15,71.0,,
123.0,Ing. Lorena Bueno,zapatamaria-jose@example.net,(660)264-7618x8740,Puebla,2024-07-23,999.0,M,
124.0,Irma Perales Ulibarri,ignacioalvarado@example.net,1-890-344-7332x0819,Veracruz,2024-03-24,-5.0,Otro,
125.0,Asunción Lucía Baeza Tamayo,raquel33@example.com,09929258885,Jalisco,2022-02-26,,Otro,93402-9184
126.0,Ana Luisa Cortés Valles,ynavarrete@example.org,02907058154,CDMX,2021-09-28,999.0,,
127.0,Lic. Leticia Nevárez,horacio80@example.net,+52(9)8533657371,Jalisco,2023-12-21,,M,
128.0,Micaela Alvarez de la Crúz,jose-emilio23@example.net,822.276.8217x76034,Jalisco,2025-08-28,68.0,Otro,ABCDE
129.0,Noemí Yáñez,iglesiasramiro@example.net,1-744-670-2415x7924,Estado de México,2023-07-10,-5.0,M,ABCDE
130.0,Gerardo Villegas,mendezclara@example.net,1-129-678-6615x3853,Veracruz,2021-07-31,999.0,Otro,ABCDE
131.0,Ricardo Reynaldo Bueno,julia39@example.org,435.925.8737x34071,Nuevo León,2025-12-05,,,
132.0,Manuel Claudio Noriega Corona,emilia83@example.org,1-592-384-4849,Yucatán,2024-01-17,999.0,,ABCDE
133.0,Horacio Alonso Colunga,canalesjaqueline@example.net,364-994-0698,Querétaro,2025-03-03,,M,
134.0,Nicolás José Carlos Benítez,sepulvedafrancisco@example.net,(903)858-9229x454,Veracruz,2025-03-04,999.0,,ABCDE
135.0,Lic. Abigail Serrato,cristobal24@example.com,280-531-6965x375,Estado de México,2025-09-12,999.0,Otro,
136.0,Bernabé Pulido Salcedo,correo_mal_formado,1-862-888-3486x3667,Veracruz,2024-10-09,-5.0,Otro,
137.0,Rodolfo Velasco Malave,reynaldomelendez@example.org,062.405.9862x02648,Querétaro,2022-05-06,-5.0,,17467-4657
138.0,Tania Benavídez,victorguajardo@example.org,165.375.2966,Yucatán,2024-01-20,30.0,F,ABCDE
139.0,Humberto Fierro,wilfridomuro@example.org,(711)495-0531,Veracruz,2021-12-01,,,ABCDE
140.0,Citlali Guerra,jacinto29@example.org,00952173112,Veracruz,2021-07-27,68.0,M,
141.0,Enrique Urías Arevalo,leonelcardona@example.org,05696907094,Puebla,2025-01-27,,Otro,
142.0,Natalia Aida Arenas Lovato,enriquebriones@example.com,839.538.4320x3916,Veracruz,2025-11-18,-5.0,,
143.0,Lic. Camilo Olivárez,arriagaricardo@example.com,125-756-6383x1304,Estado de México,2022-05-30,999.0,Otro,
144.0,Abril Guardado Pérez,rasconcesar@example.org,099-578-1989x437,Querétaro,2024-02-07,32.0,F,
145.0,Vanesa Socorro Beltrán Pulido,guilleneduardo@example.org,(306)390-6321,Jalisco,2025-02-03,,F,
146.0,Omar Benavides,adangonzalez@example.net,(435)923-3905x95634,Veracruz,2022-06-02,-5.0,M,
147.0,Lic. Dolores Mireles,abril26@example.net,551-930-1378,Querétaro,2024-08-25,-5.0,F,
148.0,Eugenia Marisela Pichardo,santacruzleonor@example.net,075.076.5485x482,CDMX,2023-06-09,,Otro,42059
149.0,Martín Iván Pacheco,wendolin90@example.org,00591742631,CDMX,2023-08-31,-5.0,F,ABCDE
150.0,Jerónimo Abel Palacios,correo_mal_formado,+17(4)8322366535,Jalisco,2024-09-29,73.0,,
151.0,Adriana Lucero,rcasarez@example.net,1-466-514-5053x7204,Veracruz,2022-09-09,999.0,Otro,
152.0,Vanesa Arce Gaona,calderahomero@example.com,983.013.3389,CDMX,2024-06-13,999.0,M,82627
153.0,Elias Mario Viera Peres,hhurtado@example.org,(481)050-1922x25770,Guanajuato,2025-08-31,49.0,,82915
154.0,Lic. Elvira Riojas,wchapa@example.net,(350)702-6176,Nuevo León,2022-10-15,-5.0,M,
155.0,Omar Luis Miguel Rivas,arteagacesar@example.org,1-344-961-5753x259,Jalisco,2022-10-04,999.0,,
156.0,María Luisa Raquel Aponte Mojica,wontiveros@example.org,1-583-735-3103x7815,Yucatán,2026-01-16,999.0,,
157.0,Timoteo Pedro Narváez Cedillo,helena44@example.com,+61(2)9445614060,Guanajuato,2025-06-28,37.0,,40547-8077
158.0,Ing. Porfirio Preciado,klucero@example.com,1-619-213-0582x3895,Puebla,2021-08-28,,Otro,11771-1589
159.0,Paulina Anguiano,elena79@example.org,863-500-5188x4095,Nuevo León,2022-09-11,,,97958
160.0,Gabriel Roberto Quintanilla Solís,estelaavalos@example.com,(739)579-7121x39484,Nuevo León,2024-05-15,999.0,,ABCDE
161.0,Margarita Quiroz,geronimo81@example.com,1-562-108-7561x7176,Querétaro,2021-10-11,,Otro,
162.0,Conchita Flórez,gabinorivera@example.net,03615628728,Veracruz,2024-07-02,,Otro,
163.0,Natividad García Romo,fnevarez@example.com,(268)255-1517x530,Guanajuato,2023-06-02,,F,
164.0,Hilda Villa Bernal,lorenaduenas@example.com,513-795-4587,Nuevo León,2021-09-05,22.0,F,
165.0,Federico Raya,gamboayeni@example.com,+61(9)0053277668,Querétaro,2022-04-01,46.0,,
166.0,Antonia Susana Rivera,qsoto@example.net,1-110-899-4448x9593,Guanajuato,2023-01-02,999.0,,42470-6426
167.0,Rosa Hermelinda Márquez,angelica52@example.net,118.228.2345x145,CDMX,2024-02-20,999.0,Otro,
168.0,Horacio Fernando Alfaro Hernández,fabiola32@example.org,787-718-2863,CDMX,2023-08-26,,,70127-4855
169.0,Sofía Sara Uribe,karinaalvarado@example.net,739.758.8277x49957,Querétaro,2024-03-13,54.0,F,ABCDE
170.0,Florencia Ángela Burgos Ávalos,torresaraceli@example.net,964.260.5162,Yucatán,2023-03-25,999.0,Otro,
171.0,Liliana Tamayo,antoniomares@example.com,1-217-035-7499,Guanajuato,2023-09-30,999.0,M,ABCDE
172.0,Camilo Ignacio Salazar,hernanquiroz@example.net,578-448-3056,Estado de México,2024-02-14,-5.0,Otro,48142-3137
173.0,Federico Zamora Niño,ivonne91@example.org,293.339.5572x773,Nuevo León,2025-01-14,999.0,,
174.0,Conchita Ceja,salejandro@example.net,00552665312,Guanajuato,2023-02-05,70.0,,61159-7255
175.0,Pascual Partida Valenzuela,javier74@example.com,589-219-8508x33886,Estado de México,2023-12-14,-5.0,M,ABCDE
176.0,Humberto Arguello Escamilla,adancaraballo@example.org,05611106651,Yucatán,2023-09-19,70.0,,ABCDE
177.0,Ing. Elvira Nava,angelasantiago@example.com,397-350-9170,Guanajuato,2023-04-09,,,
178.0,Eugenio Joaquín Partida,frodriguez@example.com,(881)253-9919x88493,Veracruz,2024-09-05,999.0,M,
179.0,Rocío Sandra Bustos,nunezgustavo@example.com,+83(0)6141897314,Querétaro,2023-06-22,,Otro,ABCDE
180.0,Jerónimo Teodoro Gil Negrón,gonzalobaez@example.net,021-795-8566,Veracruz,2022-08-18,25.0,,
181.0,Raquel Gloria Peres Jaramillo,carreromonica@example.com,1-595-200-3820x84972,Nuevo León,2022-01-23,37.0,,ABCDE
182.0,Srita. Rebeca Botello,abigailgallegos@example.org,05676337505,Jalisco,2023-12-23,32.0,,33180
183.0,Nicolás Isaac Vargas,dregalado@example.net,795-033-1241,Nuevo León,2025-10-09,-5.0,,
184.0,Horacio Jimínez,rendonsergio@example.org,1-672-161-0313,Guanajuato,2024-08-27,999.0,,
185.0,Jacinto Uribe,luis-manuelalmaraz@example.net,+72(2)1755803113,Veracruz,2023-12-11,,,
186.0,Lilia Silvia Orosco Ávalos,jose-luis21@example.net,1-306-313-5526x2205,Yucatán,2021-07-17,,M,
187.0,Srita. Mayte Rosales,cristobaldel-rio@example.com,087-185-0649,Guanajuato,2023-03-31,-5.0,M,
188.0,María Luisa Montes Navarrete,amiramontes@example.org,+29(8)5954485913,Querétaro,2024-02-24,999.0,F,ABCDE
189.0,Raquel Zambrano,soriaclaudia@example.org,1-578-573-7509x30660,Yucatán,2025-03-30,-5.0,Otro,ABCDE
190.0,Cristobal Cabrera Rubio,nceballos@example.net,1-334-898-7075x9073,Veracruz,2025-09-26,,F,ABCDE
191.0,Lic. Leonardo Gálvez,nellyoquendo@example.org,196-511-4438,Puebla,2023-10-08,999.0,M,
192.0,Elena Carlota Macías López,barbaraabreu@example.net,(788)653-2163,Veracruz,2026-05-04,999.0,,
193.0,Lorena Sessa Cabán Vásquez,ntirado@example.org,946.291.8163x45754,Veracruz,2022-09-23,,,
194.0,Dra. Leonor Sauceda,rubydiaz@example.net,(640)358-1608x974,Jalisco,2021-08-29,999.0,M,ABCDE
195.0,Rafaél Tafoya,silvano52@example.net,317.575.1232,CDMX,2021-08-03,,,
196.0,Sr. Adalberto Meza,xruelas@example.net,1-935-695-8140x1752,Jalisco,2022-05-07,-5.0,Otro,ABCDE
197.0,Eugenia Anel Figueroa,abelardo61@example.net,(893)480-3682,Jalisco,2025-08-12,-5.0,,ABCDE
198.0,Adalberto Benavídez Nieves,porfirio69@example.com,1-513-536-6500,Estado de México,2022-02-22,999.0,,48485-2584
199.0,Martín Antonio Bravo González,xsevilla@example.com,08288142406,Jalisco,2023-09-28,-5.0,F,26206
,Daniela Otero,homerovanegas@example.org,387-703-9597,Guanajuato,2024-04-23,24.0,,
201.0,Julia Longoria Huerta,correo_mal_formado,04338230515,Querétaro,2023-02-08,75.0,M,
202.0,Cristina Sonia Espinal,timoteoarevalo@example.org,(049)151-8478x428,CDMX,2024-04-22,-5.0,Otro,ABCDE
203.0,Dr. Espartaco Miramontes,qocampo@example.com,1-970-201-2022,Nuevo León,2026-07-03,999.0,,
204.0,Fidel Bruno Posada,agustin21@example.org,1-129-320-0049,Nuevo León,2026-03-14,29.0,,ABCDE
205.0,Araceli Galván Arenas,badilloanabel@example.net,216-452-6247x51237,Puebla,2025-11-14,,F,ABCDE
206.0,Óscar Arriaga Muñoz,eva15@example.com,1-460-310-5037,Querétaro,2023-02-19,-5.0,M,ABCDE
207.0,Frida Esperanza Archuleta Gallegos,eugenia83@example.com,424-897-8300x55091,Querétaro,2023-11-15,,M,ABCDE
,Aurelio José Luis Suárez Almonte,jorge65@example.net,06086157517,Estado de México,2024-01-06,-5.0,,
209.0,Pedro Mata,yeni30@example.com,1-958-832-1563x4325,Veracruz,2022-08-06,-5.0,F,ABCDE
210.0,Indira Esperanza Baca,rufinovillareal@example.org,04332918234,Veracruz,2025-04-12,,,
211.0,Natividad Sanabria Sierra,garias@example.com,1-965-599-1921,Querétaro,2021-09-20,-5.0,M,ABCDE
212.0,Aurelio Marrero Correa,araceli00@example.net,823.434.1801,Querétaro,2025-07-30,18.0,,ABCDE
213.0,Ing. Espartaco Lugo,teresa21@example.net,+11(7)6871566875,Querétaro,2024-03-12,,,
214.0,Socorro Leonor Fierro,ernestoceballos@example.org,723-381-9497x6753,Puebla,2025-05-19,,,
215.0,Jonás Quiñones,mercadoadan@example.org,(406)782-1531x1101,Nuevo León,2022-12-06,58.0,M,
216.0,Carlota Mondragón,dvazquez@example.net,1-773-113-7571x06335,Veracruz,2022-02-09,-5.0,F,39142-2260
217.0,Noemí Leiva Domínguez,paezantonio@example.net,439.286.9509,Querétaro,2023-01-28,999.0,F,
218.0,Amanda Araceli Gaitán Gaona,navarroandres@example.org,496.114.1932,Nuevo León,2023-11-21,-5.0,,
219.0,Liliana Inés Caraballo de la Fuente,correo_mal_formado,(492)955-0816x6549,Nuevo León,2021-09-16,999.0,Otro,
220.0,Jaqueline Reséndez Sanabria,elisaprieto@example.com,099.859.2103x258,Jalisco,2022-07-23,47.0,F,
221.0,Víctor Lebrón Guillen,citlalipizarro@example.org,473-581-9994x490,Guanajuato,2023-09-18,-5.0,M,ABCDE
222.0,Ing. Oswaldo Madera,casanovaernesto@example.com,1-306-499-2199x6123,CDMX,2025-04-15,34.0,,
223.0,Dr. Cristobal Gurule,umarin@example.org,+73(8)8423266240,Querétaro,2025-04-24,999.0,Otro,05483-5871
224.0,Eric Rojas,rosarioherrera@example.com,1-636-450-7965x545,Puebla,2024-11-14,48.0,,
225.0,Sra. Hermelinda Acuña,yespino@example.org,+29(0)9035032231,Puebla,2023-04-20,59.0,,
226.0,Salvador Garza,cruiz@example.org,1-380-308-2250x4024,Guanajuato,2024-12-05,,M,28480-4549
227.0,Pamela Tafoya Navarrete,cristina53@example.com,04693668871,Querétaro,2024-05-18,49.0,M,
228.0,Víctor Narváez,pmatias@example.com,(695)384-0819,Yucatán,2023-05-21,999.0,,
229.0,Emilio Humberto Concepción,mariofranco@example.com,1-848-362-9931x7255,Yucatán,2024-03-17,,,46137-8954
230.0,Leticia Romero Quiñónez,barajasantonia@example.net,05189412448,Veracruz,2023-10-28,999.0,Otro,28544
231.0,Clara Fabiola Parra,renatocarranza@example.com,286-207-2478x55279,Estado de México,2022-03-28,999.0,,
232.0,Darío Octavio Báez,georginaverduzco@example.org,(782)499-9356,Estado de México,2021-08-02,-5.0,,
233.0,Miguel Ángel Víctor Terán Carvajal,marco-antoniosarabia@example.org,433-826-8382,CDMX,2025-02-25,-5.0,F,32206-8569
234.0,Benito Juan Puente Riojas,palba@example.net,607-492-8540,Veracruz,2026-04-07,,,02435
235.0,Yolanda Rosa Caldera,rodrigo40@example.org,1-351-464-0706x821,CDMX,2024-06-20,-5.0,F,
236.0,Josefina Bernal Gonzales,alberto70@example.org,03623324450,Puebla,2022-10-10,,,
237.0,Zoé Beatriz Berríos,rodriquezmitzy@example.net,01344811446,Puebla,2024-01-05,,,24118-0774
238.0,René Lucas Ávila,salma15@example.net,235-290-5099x2353,Querétaro,2022-09-20,,F,
